,author,year_birth,year_dead,title,year_published,num_sentences,num_tokens,num_lemmas,longest_sentence,longest_word
1,Jaroslav Hašek,1883,1923,Švejk2,1923,2850,73454,8448,158,27
0,Josef Jiří Kolár,1812,1896,Pekla zplozenci,1862,1878,53806,7437,157,17
0,Vilém Mrštík,1863,1912,Santa Lucia,1893,4657,108543,10050,267,19
0,Gustav Neyrink,1868,1932,Golem,1915,4563,72957,8076,93,18
1,Gustav Meyrink,1868,1932,Valpuržina noc,1917,2595,54937,7244,120,18
2,Gustav Meyrink,1868,1932,Bílý dominikán,1921,2327,50602,6021,164,21
0,Franz Kafka,1883,1924,Proces,1925,2771,74542,7764,166,25
0,Michal Ajvaz,1949,0,Druhé město,1993,1534,47159,6426,357,18
1,Michal Ajvaz,1949,0,Luxemburská zahrada,2011,1659,54413,6668,488,26
2,Michal Ajvaz,1949,0,Vražda v hotelu Intercontinental,1989,350,6762,2091,187,20
3,Michal Ajvaz,1949,0,Návrat starého varana,1991,823,24807,4878,273,21
0,Daniela Hodrová,1946,0,Podobojí,1991,3005,58810,5626,77,19
1,Daniela Hodrová,1946,0,Kukly,1991,4705,91476,6401,79,32
2,Daniela Hodrová,1946,0,Théta,1991,4106,68696,8279,90,26
3,Daniela Hodrová,1946,0,Město vidím,1992,1390,24485,4392,98,18
4,Daniela Hodrová,1946,0,Točité věty,2015,2433,145359,12978,548,28
0,Miloš Urban,1967,0,Poslední tečka za rukopisy,1998,2748,52639,9105,175,24
1,Miloš Urban,1967,0,Hastrman1,2001,3834,69877,9293,78,19
2,Miloš Urban,1967,0,Hastrman2,2001,3897,53953,8683,67,20
3,Miloš Urban,1967,0,Sedmikostelí,1998,5830,97480,11853,150,22
4,Miloš Urban,1967,0,Stín katedrály,2003,4287,63692,9042,171,23
0,Miloš Urban,1967,0,Michaela,2004,2108,25970,4357,55,16
1,Miloš Urban,1967,0,Santiniho jazyk,2005,6243,91331,9801,131,60
2,Miloš Urban,1967,0,Lord Mord,2008,5431,95065,10704,140,22
3,Miloš Urban,1967,0,Boletus Arcanus,2011,4746,75127,9133,91,28
0,Miloš Urban,1967,0,Praga Piccola,2012,6538,126251,12107,126,26
1,Miloš Urban,1967,0,Pole a palisáda,2006,1635,22421,4159,62,16
2,Miloš Urban,1967,0,Továrna na maso,2022,5602,96067,9923,97,20
0,Jakub Arbes,1840,1914,Démantová garnitura,1883,1044,28229,3769,221,18
1,Jakub Arbes,1840,1914,Kamarádi,1888,197,4594,1151,82,19
2,Jakub Arbes,1840,1914,Nalezenec,1887,416,11174,2363,131,18
3,Jakub Arbes,1840,1914,Noc na hřbitově,1899,676,18299,3736,129,22
0,Jakub Arbes,1840,1914,Odumírající drahokam,1889,235,6008,1570,131,18
1,Jakub Arbes,1840,1914,Sladký hřích,1877,229,6951,1562,130,17
0,Jakub Arbes,1840,1914,Bílé svatební šaty,1883,120,2899,899,90,15
1,Jakub Arbes,1840,1914,Blíženci,1888,116,2797,924,91,15
"0,Jakub Arbes,1840,1914,""Jedna z těch, které mě zajímaly"",1883,217,6139,1698,119,17"
1,Jakub Arbes,1840,1914,Poslední škamna,1878,676,18278,3135,146,18
2,Jakub Arbes,1840,1914,Rodinné drama,1888,2095,47174,5092,107,19
3,Jakub Arbes,1840,1914,Zpuchřelá nitka,1888,206,4471,1311,98,17
0,Gustav Meyrink,1868,1932,Zelená tvář,1916,2920,77790,8941,248,21
0,Gustav Meyrink,1868,1932,Anděl západního okna,1927,6437,130600,11330,144,32
0,Karolina Světlá,1830,1899,První Češka,1861,3619,98203,9148,147,18
0,Daniela Hodrová,1946,2024,Perunův den,1994,4925,81702,6588,74,17
0,Karolina Světlá,1830,1899,Mladá paní Zapletalová,1882,463,16048,3212,163,20
0,Miloš Urban,1967,0,Závěrka,2017,3763,59748,7489,99,18
0,Karolina Světlá,1830,1899,Škapulíř,1889,1424,42636,5927,119,18
1,Karolina Světlá,1830,1899,Na košatkách,1885,1177,33277,4747,120,17
0,Gustav Meyrink,1868,1932,Neviditelná Praha,1930,59,1443,623,129,14
1,Gustav Meyrink,1868,1932,Pražská vizitka,0,317,5833,1950,94,17
0,Jakub Arbes,1840,1914,Dobrodružství ve výsadní hospodě,1872,257,6464,1546,87,16
1,Jakub Arbes,1840,1914,Lampičky,1883,1338,34502,4355,134,21
2,Jakub Arbes,1840,1914,Penězokaz,1875,140,2766,1020,62,17
3,Jakub Arbes,1840,1914,Samovrah,1900,173,4879,1346,92,18
